,Job Title,Company Name,Company Location,Intern Duration,Stipend,Job Details Url
241,Media & Public Relations (PR),KaroStartup,"Delhi, Pune, Bangalore, Mumbai                                                            (Hybrid)",3 Months,"₹ 5,000-8,000 /month",https://internshala.com/internship/detail/part-time-media-public-relations-pr-internship-in-multiple-locations-at-karostartup1736857108
242,Video Editing/Making,Creafinity LLP,Pune,6 Months,"₹ 5,000-10,000 /month",https://internshala.com/internship/detail/video-editing-making-internship-in-pune-at-creafinity-llp1736509320
243,Video Editing/Making,What The Flex,Pune,6 Months,"₹ 10,000-15,000 /month",https://internshala.com/internship/detail/video-editing-making-internship-in-pune-at-what-the-flex1736405992
244,Business Development (Sales),Talent Corner HR Services,Pune,3 Months,"₹ 5,000 /month",https://internshala.com/internship/detail/business-development-sales-internship-in-pune-at-talent-corner-hr-services1736509356
245,Video Editing/Making,Pune Medical Coding Training Institute,Hinjawadi,5 Months,"₹ 7,000 /month",https://internshala.com/internship/detail/video-editing-making-internship-in-hinjawadi-at-pune-medical-coding-training-institute1736246069
246,Video Editor,ONE XL INFO LLP,"Pune, Pimpri-Chinchwad",6 Months,"₹ 20,000-35,000 /month",https://internshala.com/internship/detail/video-editor-internship-in-multiple-locations-at-one-xl-info-llp1736418707
247,Business Development (Sales),Creafinity LLP,Pune,6 Months,"₹ 8,000-16,000 /month",https://internshala.com/internship/details/business-development-sales-internship-in-pune-at-creafinity-llp1736509433
248,Business Development (Sales),GrayQuest Education Finance Private Limited,Pune,3 Months,"₹ 12,000 /month",https://internshala.com/internship/details/business-development-sales-internship-in-pune-at-grayquest-education-finance-private-limited1736157576
249,Marketing,DataBaat Technologies Private Limited,Pune,6 Months,"₹ 10,000 /month",https://internshala.com/internship/details/marketing-internship-in-pune-at-databaat-technologies-private-limited1736497222
250,Social Media Manager,ONE XL INFO LLP,"Pune, Pimpri-Chinchwad",6 Months,"₹ 25,000-30,000 /month",https://internshala.com/internship/details/social-media-manager-internship-in-multiple-locations-at-one-xl-info-llp1736418425
251,E-commerce Executive,Digital Factorys,"Pune, Pimpri-Chinchwad",6 Months,"₹ 10,000 /month",https://internshala.com/internship/details/e-commerce-executive-internship-in-multiple-locations-at-digital-factorys1736235953
252,Telecalling,Shikkha Educational Advisory Solutions,Kolkata,3 Months,"₹ 8,000 /month",https://internshala.com/internship/detail/telecalling-internship-in-kolkata-at-shikkha-educational-advisory-solutions1737184449
253,Video Editing/Making,Shikkha Educational Advisory Solutions,Kolkata,3 Months,"₹ 10,000 /month",https://internshala.com/internship/detail/video-editing-making-internship-in-kolkata-at-shikkha-educational-advisory-solutions1737172258
254,Cyber Security,SDSR Consultancy Services Private Limited,Kolkata,1 Month,"₹ 10,000 /month",https://internshala.com/internship/detail/cyber-security-internship-in-kolkata-at-sdsr-consultancy-services-private-limited1737108954
255,Marketing,Shikkha Educational Advisory Solutions,Kolkata,3 Months,"₹ 7,000-15,000 /month",https://internshala.com/internship/details/marketing-internship-in-kolkata-at-shikkha-educational-advisory-solutions1737015897
256,Content Writing,Shikkha Educational Advisory Solutions,Kolkata,3 Months,"₹ 9,000 lump sum",https://internshala.com/internship/details/content-writing-internship-in-kolkata-at-shikkha-educational-advisory-solutions1737003148
257,Business Development (Sales),Shikkha Educational Advisory Solutions,Kolkata,3 Months,"₹ 3,000-8,000 /month",https://internshala.com/internship/details/business-development-sales-internship-in-kolkata-at-shikkha-educational-advisory-solutions1736956515
258,Marketing,VTCPL,Kolkata,6 Months,"₹ 5,000-10,000 /month",https://internshala.com/internship/details/marketing-internship-in-kolkata-at-vtcpl1736831797
